Order ID,Order Date,Number of Items,Order Amount,User ID,Payment Method,Status,Refund Status,
22,2023-09-29,14,632.1475,admin@gmail.com,Online Payment,CANCELED,COMPLETED,
23,2023-09-29,14,633.25,admin@gmail.com,Online Payment,CANCELED,COMPLETED,
24,2023-09-29,14,742.3975,admin@gmail.com,Online Payment,CANCELED,COMPLETED,
25,2023-09-29,14,633.25,admin@gmail.com,Online Payment,CANCELED,COMPLETED,
26,2023-09-29,14,521.8975,admin@gmail.com,Online Payment,CANCELED,COMPLETED,
27,2023-09-29,14,521.8975,admin@gmail.com,Online Payment,CANCELED,COMPLETED,
32,2023-09-29,14,742.3975,admin@gmail.com,Online Payment,CANCELED,COMPLETED,
33,2023-09-29,14,563.95,admin@gmail.com,Online Payment,CANCELED,COMPLETED,
41,2023-09-29,14,1314.15,admin@gmail.com,Cash On Delivery,CANCELED,COMPLETED,
42,2023-09-29,14,973.3,admin@gmail.com,Online Payment,CANCELED,COMPLETED,
43,2023-09-29,14,804.1500000000001,admin@gmail.com,Online Payment,CANCELED,COMPLETED,
44,2023-09-29,14,1399.15,admin@gmail.com,Online Payment,CANCELED,COMPLETED,
45,2023-09-29,14,465.0,admin@gmail.com,Online Payment,CANCELED,COMPLETED,
47,2023-10-01,14,1740.0,admin@gmail.com,Cash On Delivery,CANCELED,COMPLETED,
